Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Policy,Image Src,Image Alt Text,Status
monstera-deliciosa,Monstera Deliciosa,"<p>The iconic Swiss Cheese Plant. Deep green, fenestrated leaves that can span 90cm across when mature — each new leaf more dramatic than the last. Native to the tropical forests of southern Mexico, this climbing aroid anchors any indoor jungle.</p><p><strong>Why we love it:</strong> The moment a new leaf unfurls with its first fenestrations is pure plant-parent joy. Give it a moss pole and watch it climb.</p>",Botanica,Indoor Plant,"care-medium, light-medium, pet-toxic, air-purifying, floor-plant, tall-upward, water-weekly, variegated, fast-growing, color-green, size-floor",TRUE,Size,6"" Pot,PLANT-MON-06,4500,5500,continue,https://images.unsplash.com/photo-1614594975525-e45190c55d0b?w=800,Monstera Deliciosa in cream ceramic pot,active
fiddle-leaf-fig,Fiddle Leaf Fig,"<p>The reigning icon of interior design. Huge violin-shaped leaves on a statuesque trunk — Ficus lyrata turns any corner into a focal point. A must-have for bright, airy spaces.</p><p><strong>Why we love it:</strong> When this plant is happy, it rewards you with massive new leaves the size of dinner plates. The ultimate plant-parent flex.</p>",Botanica,Indoor Tree,"care-medium, light-bright, pet-toxic, floor-plant, tall-upward, water-weekly, color-green, size-floor",TRUE,Size,8"" Pot,PLANT-FLF-08,5800,7200,continue,https://images.unsplash.com/photo-1597055181308-54ef08a5ed04?w=800,Fiddle Leaf Fig in bright living room,active
snake-plant-laurentii,Snake Plant Laurentii,"<p>The undisputed champion of low-maintenance greenery. Dracaena trifasciata 'Laurentii' — sword-like leaves with golden-yellow margins that thrive on neglect. NASA-approved air purifier.</p><p><strong>Why we love it:</strong> Travels well, survives offices, tolerates near-darkness, and looks sculptural doing it. The perfect first plant.</p>",Botanica,Indoor Plant,"care-easy, light-low, pet-toxic, air-purifying, shelf-plant, floor-plant, upright-rosette, water-3weeks, beginner, color-green, color-multicolor, size-desk",TRUE,Size,5"" Pot,PLANT-SNL-05,2800,3500,continue,https://images.unsplash.com/photo-1593482892290-f5427c2a1e11?w=800,Snake Plant Laurentii in minimalist pot,active
zz-plant,ZZ Plant,"<p>Zamioculcas zamiifolia — glossy emerald leaves that look almost artificial, emerging from potato-like rhizomes that store water for weeks. Thrives in windowless bathrooms and dim offices.</p><p><strong>Why we love it:</strong> Water it once a month. That's it. The plant that asks nothing and still looks like a million bucks.</p>",Botanica,Indoor Plant,"care-easy, light-low, pet-toxic, shelf-plant, tabletop-plant, upright-rosette, water-3weeks, beginner, color-green, size-desk",TRUE,Size,6"" Pot,PLANT-ZZ-06,3200,4000,continue,https://images.unsplash.com/photo-1632207686063-68f9acf95f82?w=800,ZZ Plant with glossy dark leaves,active
golden-pothos,Golden Pothos,"<p>The cascade champion. Epipremnum aureum — heart-shaped leaves marbled with gold, trailing up to 3 meters. The fastest path to indoor jungle vibes in any room.</p><p><strong>Why we love it:</strong> Propagates in a glass of water. Share cuttings with everyone you know. Watch it conquer your bookshelf.</p>",Botanica,Hanging Plant,"care-easy, light-low, pet-toxic, air-purifying, hanging-plant, vine-trailing, water-weekly, beginner, fast-growing, color-green, color-variegation, size-mini",TRUE,Size,6"" Hanging,PLANT-GPO-06,2400,3000,continue,https://images.unsplash.com/photo-1621751676147-4c8e2b6b16e1?w=800,Golden Pothos trailing from hanging basket,active
peace-lily,Peace Lily,"<p>Spathiphyllum — elegant white spathes rise like sails above glossy dark leaves. Nature's built-in water meter: when it droops dramatically, water it. Within hours, it's standing tall again.</p><p><strong>Why we love it:</strong> The only low-light plant that also blooms. Plus it tells you exactly when it's thirsty — no guesswork.</p>",Botanica,Flowering Plant,"care-medium, light-low, pet-toxic, air-purifying, tabletop-plant, shelf-plant, bushy, water-weekly, flowering, color-white, color-green, size-desk",TRUE,Size,6"" Pot,PLANT-PEL-06,3500,4200,continue,https://images.unsplash.com/photo-1593694232674-3d73d3a9a87e?w=800,Peace Lily with white bloom,active
philodendron-brasil,Philodendron Brasil,"<p>The collector's gateway philodendron — heart-shaped leaves streaked with electric lime variegation. Compact, fast-growing, and endlessly photographable on a shelf or in a hanging basket.</p><p><strong>Why we love it:</strong> No two leaves are alike. Each new unfurl is a surprise — some nearly half-lime, others deep green with a single golden stripe.</p>",Botanica,Indoor Plant,"care-medium, light-medium, pet-toxic, tabletop-plant, hanging-plant, vine-trailing, water-weekly, variegated, fast-growing, color-green, color-variegation, size-desk",TRUE,Size,5"" Pot,PLANT-PHB-05,2800,3500,continue,https://images.unsplash.com/photo-1630304727072-b8c2659a12a0?w=800,Philodendron Brasil with lime stripes,active
bird-of-paradise,White Bird of Paradise,"<p>Strelitzia nicolai — banana-like leaves that can reach 2 meters indoors, creating an instant tropical atrium effect. The plant equivalent of a statement chandelier.</p><p><strong>Why we love it:</strong> Those massive, paddle-shaped leaves transform any room into a luxury hotel lobby. Architectural, dramatic, unforgettable.</p>",Botanica,Indoor Tree,"care-medium, light-bright, pet-toxic, floor-plant, tall-upward, water-weekly, color-green, size-statement",TRUE,Size,10"" Pot,PLANT-BOP-10,8500,10500,continue,https://images.unsplash.com/photo-1603058817250-a45cb9ff4b0e?w=800,White Bird of Paradise in bright corner,active
alocasia-polly,Alocasia Polly,"<p>Amazonian Elephant Ear — dramatically arrow-shaped leaves with electric-white veins on deep jade green. Looks prehistoric, demands tropical humidity and bright filtered light.</p><p><strong>Why we love it:</strong> Each new leaf is visibly bigger than the last. When humidity and warmth are right, this plant grows fast and looks unreal.</p>",Botanica,Indoor Plant,"care-expert, light-bright, pet-toxic, humidity-loving, shelf-plant, floor-plant, tall-upward, water-weekly, rare, color-green, color-white, size-desk",TRUE,Size,6"" Pot,PLANT-ALP-06,5200,6500,continue,https://images.unsplash.com/photo-1631217868264-e5b90bbde161?w=800,Alocasia Polly with white-veined leaves,active
spider-plant,Spider Plant,"<p>Chlorophytum comosum — the nostalgic favorite with arching ribbon-like leaves and cascading babies on long stems. The gift that keeps on giving, generation after generation.</p><p><strong>Why we love it:</strong> Those baby plantlets. Pot them up, gift them, start a plant empire from a single mother plant. Pet-safe and air-purifying.</p>",Botanica,Hanging Plant,"care-easy, light-medium, pet-safe, air-purifying, hanging-plant, vine-trailing, water-weekly, beginner, fast-growing, color-green, color-white, size-mini",TRUE,Size,5"" Hanging,PLANT-SPI-05,2000,2500,continue,https://images.unsplash.com/photo-1572688484438-313aa0e04e7e?w=800,Spider Plant with babies cascading,active
